,mean_spearman,mean_cosine,mean_top_k,fidelity_pearson,fidelity_spearman,all_metrics
CODE_REJECT_REASON_HC,0.999908790879088,0.9999861133914714,1.0,,,"[{'spearman_r': 0.99996399639964, 'pearson_r': 0.9999864869569077, 'cosine_sim': 0.9999861487909631, 'top_k_intersection': 1.0}, {'spearman_r': 0.9999999999999999, 'pearson_r': 0.999997813928404, 'cosine_sim': 0.9999977916179943, 'top_k_intersection': 1.0}, {'spearman_r': 0.9998679867986798, 'pearson_r': 0.9999903358563966, 'cosine_sim': 0.9999897955879284, 'top_k_intersection': 1.0}, {'spearman_r': 0.9999999999999999, 'pearson_r': 0.9999958619792744, 'cosine_sim': 0.9999957763962128, 'top_k_intersection': 1.0}, {'spearman_r': 0.9996399639963995, 'pearson_r': 0.9999386977734865, 'cosine_sim': 0.9999367845293563, 'top_k_intersection': 1.0}, {'spearman_r': 0.9999879987998799, 'pearson_r': 0.9999961928473581, 'cosine_sim': 0.9999960798747443, 'top_k_intersection': 1.0}, {'spearman_r': 0.9998919891989198, 'pearson_r': 0.9999873906975335, 'cosine_sim': 0.9999871633105768, 'top_k_intersection': 1.0}, {'spearman_r': 0.99996399639964, 'pearson_r': 0.9999971741912408, 'cosine_sim': 0.9999971182529104, 'top_k_intersection': 1.0}, {'spearman_r': 0.9998439843984397, 'pearson_r': 0.9999808231573005, 'cosine_sim': 0.999980240106549, 'top_k_intersection': 1.0}, {'spearman_r': 0.9999279927992797, 'pearson_r': 0.999994461754838, 'cosine_sim': 0.9999942354474776, 'top_k_intersection': 1.0}]"
EXT_SOURCE_3,0.9786990699069907,0.9837865969463339,0.76,0.7487718780174626,0.7939393939393938,"[{'spearman_r': 0.9751935193519351, 'pearson_r': 0.97925592094579, 'cosine_sim': 0.9788274892975399, 'top_k_intersection': 0.6}, {'spearman_r': 0.9866186618661865, 'pearson_r': 0.9911542895426553, 'cosine_sim': 0.9909209136984406, 'top_k_intersection': 1.0}, {'spearman_r': 0.9756015601560155, 'pearson_r': 0.9803110161851085, 'cosine_sim': 0.9803084450334472, 'top_k_intersection': 0.6}, {'spearman_r': 0.9853705370537053, 'pearson_r': 0.9890188461262203, 'cosine_sim': 0.9890025294503507, 'top_k_intersection': 0.8}, {'spearman_r': 0.9728772877287728, 'pearson_r': 0.9802182622744238, 'cosine_sim': 0.9801067669441509, 'top_k_intersection': 0.8}, {'spearman_r': 0.9904590459045904, 'pearson_r': 0.9847558279570955, 'cosine_sim': 0.9846826570519611, 'top_k_intersection': 0.8}, {'spearman_r': 0.9719651965196519, 'pearson_r': 0.9774387757290073, 'cosine_sim': 0.9771432923152626, 'top_k_intersection': 0.6}, {'spearman_r': 0.9828382838283828, 'pearson_r': 0.9866658978053082, 'cosine_sim': 0.9866641870664152, 'top_k_intersection': 0.8}, {'spearman_r': 0.9672607260726073, 'pearson_r': 0.9821087504490174, 'cosine_sim': 0.9817801499684358, 'top_k_intersection': 0.8}, {'spearman_r': 0.9788058805880587, 'pearson_r': 0.9884448992496226, 'cosine_sim': 0.9884295386373342, 'top_k_intersection': 0.8}]"
PREVAPP_AMT_ANNUITY_MEAN,0.9944794479447943,0.9962894139869303,0.9400000000000001,0.974607001191888,0.8545454545454544,"[{'spearman_r': 0.998115811581158, 'pearson_r': 0.9992606740833767, 'cosine_sim': 0.9992439747730616, 'top_k_intersection': 1.0}, {'spearman_r': 0.9848184818481848, 'pearson_r': 0.9895401416188961, 'cosine_sim': 0.9894594152511557, 'top_k_intersection': 0.8}, {'spearman_r': 0.9936273627362735, 'pearson_r': 0.9965490105617438, 'cosine_sim': 0.9964928678207928, 'top_k_intersection': 1.0}, {'spearman_r': 0.9975397539753975, 'pearson_r': 0.9984738959847014, 'cosine_sim': 0.9984694520030475, 'top_k_intersection': 1.0}, {'spearman_r': 0.9933873387338733, 'pearson_r': 0.9946571029368425, 'cosine_sim': 0.9946007148777652, 'top_k_intersection': 1.0}, {'spearman_r': 0.9935433543354334, 'pearson_r': 0.9958256922233698, 'cosine_sim': 0.9958231685391861, 'top_k_intersection': 1.0}, {'spearman_r': 0.9983438343834382, 'pearson_r': 0.9978700376844974, 'cosine_sim': 0.9978700375884809, 'top_k_intersection': 0.8}, {'spearman_r': 0.9975637563756374, 'pearson_r': 0.9986835619604485, 'cosine_sim': 0.9986834742256324, 'top_k_intersection': 1.0}, {'spearman_r': 0.9939873987398739, 'pearson_r': 0.9961837470924766, 'cosine_sim': 0.9961567515082873, 'top_k_intersection': 1.0}, {'spearman_r': 0.9938673867386737, 'pearson_r': 0.9960952872918293, 'cosine_sim': 0.996094283281891, 'top_k_intersection': 0.8}]"
EXT_SOURCE_1,0.9916183618361835,0.9924100723971726,0.9600000000000002,0.6086338994985643,0.6242424242424242,"[{'spearman_r': 0.9959195919591959, 'pearson_r': 0.9956445291688032, 'cosine_sim': 0.9956284086203024, 'top_k_intersection': 1.0}, {'spearman_r': 0.9960756075607561, 'pearson_r': 0.990038111206321, 'cosine_sim': 0.989933800474249, 'top_k_intersection': 0.8}, {'spearman_r': 0.9852985298529852, 'pearson_r': 0.9902353994614426, 'cosine_sim': 0.9900729383852972, 'top_k_intersection': 1.0}, {'spearman_r': 0.9870267026702669, 'pearson_r': 0.9914902029625378, 'cosine_sim': 0.9913634052055423, 'top_k_intersection': 1.0}, {'spearman_r': 0.9982838283828381, 'pearson_r': 0.997803752733378, 'cosine_sim': 0.9977830095539633, 'top_k_intersection': 1.0}, {'spearman_r': 0.9722532253225321, 'pearson_r': 0.982562979306121, 'cosine_sim': 0.9819609099152661, 'top_k_intersection': 1.0}, {'spearman_r': 0.9989198919891988, 'pearson_r': 0.9978284318009631, 'cosine_sim': 0.9977349513131011, 'top_k_intersection': 1.0}, {'spearman_r': 0.9860186018601859, 'pearson_r': 0.9894881444806475, 'cosine_sim': 0.9893722692684436, 'top_k_intersection': 1.0}, {'spearman_r': 0.999123912391239, 'pearson_r': 0.9979415521830809, 'cosine_sim': 0.9978648522032975, 'top_k_intersection': 1.0}, {'spearman_r': 0.9972637263726373, 'pearson_r': 0.9925473535910988, 'cosine_sim': 0.9923861790322638, 'top_k_intersection': 0.8}]"
DAYS_BIRTH,0.9690261026102609,0.9766601452979897,0.9199999999999999,0.9315011111196259,0.8666666666666665,"[{'spearman_r': 0.9840144014401438, 'pearson_r': 0.9891508995556969, 'cosine_sim': 0.989060593605433, 'top_k_intersection': 1.0}, {'spearman_r': 0.9695769576957695, 'pearson_r': 0.9796529389834903, 'cosine_sim': 0.9795836132277288, 'top_k_intersection': 0.8}, {'spearman_r': 0.9890189018901889, 'pearson_r': 0.9878209122747879, 'cosine_sim': 0.9875938191483181, 'top_k_intersection': 1.0}, {'spearman_r': 0.9520432043204319, 'pearson_r': 0.9656382721991321, 'cosine_sim': 0.9655415964533345, 'top_k_intersection': 1.0}, {'spearman_r': 0.9548034803480346, 'pearson_r': 0.9712882291381151, 'cosine_sim': 0.9712823819336713, 'top_k_intersection': 0.8}, {'spearman_r': 0.9766936693669366, 'pearson_r': 0.9805562881564861, 'cosine_sim': 0.9805536404755264, 'top_k_intersection': 1.0}, {'spearman_r': 0.9662526252625262, 'pearson_r': 0.9714280384887728, 'cosine_sim': 0.9713433985605273, 'top_k_intersection': 0.8}, {'spearman_r': 0.9499549954995498, 'pearson_r': 0.9548723459732017, 'cosine_sim': 0.9547658664298448, 'top_k_intersection': 0.8}, {'spearman_r': 0.9707650765076506, 'pearson_r': 0.9787975318531917, 'cosine_sim': 0.9785348308491785, 'top_k_intersection': 1.0}, {'spearman_r': 0.977137713771377, 'pearson_r': 0.9886319722098873, 'cosine_sim': 0.9883417122963333, 'top_k_intersection': 1.0}]"
